Ratio H/L normalized REP_A,Ratio H/L normalized REP_B,Ratio H/L normalized REP_C,Only identified by site,Reverse,Contaminant,Peptides,Sequence coverage [%],Mol. weight [kDa],PEP,Ratio H/L count REP_A,Ratio H/L count REP_B,Ratio H/L count REP_C,Intensity L REP_A,Intensity H REP_A,Intensity L REP_B,Intensity H REP_B,Intensity L REP_C,Intensity H REP_C,Mean,Median,Standard deviation,Coefficient of variation,Median absolute deviation,Minimum,Maximum,Range,Valid values,Protein IDs,Majority protein IDs,Protein names,Gene names,Proteins,Cysteinylation site IDs,Glutathionylation site IDs,Nitro site IDs,Oxidation (M) site IDs,Phospho (STY) site IDs,s-nitrosylation site IDs,GOBP Name,GOBP Name2,GOBP Name3,GOBP Name4,GOBP Name5,GOBP Name6,GOBP Name7,GOBP Name8,GOBP Name9,GOBP Name10,GOBP Name11,GOBP Name12,GOBP Name13,GOBP Name14,GOBP Name15,GOBP Name16,GOBP Name17,GOBP Name18,GOBP Name19,GOBP Name20,GOBP Name21,GOBP Name22,GOBP Name23,GOBP Name24,GOBP Name25,GOBP Name26,GOBP Name27,GOBP Name28,GOBP Name29,GOBP Name30,GOBP Name31,GOBP Name32,GOBP Name33,GOBP Name34,GOBP Name35,GOBP Name36,GOBP Name37,GOBP Name38,GOBP Name39,GOBP Name40,GOBP Name41,GOBP Name42,GOBP Name43,GOBP Name44,GOBP Name45,GOBP Name46,GOBP Name47,GOBP Name48,GOBP Name49,GOBP Name50,GOBP Name51,GOBP Name52,GOBP Name53,GOBP Name54,GOBP Name55,GOBP Name56,GOBP Name57,GOBP Name58,GOBP Name59,GOBP Name60,GOBP Name61,GOBP Name62,GOBP Name63,GOBP Name64,GOBP Name65,GOBP Name66,GOBP Name67,GOBP Name68,GOBP Name69,GOBP Name70,GOBP Name71,GOBP Name72,GOBP Name73,GOBP Name74,GOBP Name75,GOBP Name76,GOBP Name77,GOBP Name78,GOBP Name79,GOBP Name80,GOBP Name81,GOBP Name82
-0.683275,-0.407478,-0.44089,,,,8,56.4,17.965,8.74E-123,43,47,48,181740000,167130000,172920000,169670000,191630000,182020000,-0.510548,-0.44089,0.150516,-0.294813,0.0334117,-0.683275,-0.407478,0.275797,3,P62979;P0CG48;F5H041;F5H7K6;Q96C32;P0CG47;J3QKN0;F5GXK7;F5H747;F5H388;B4DV12;F5H7Y5;F5H265;F5H2Z3;F5GYU3;P62987;F5H6Q2;J3QTR3;J3QS39;J3QRK5;J3QLP7;F5H4D8;F5GZ39;K7EMA8;J3QSA3;J3KSM4,P62979;P0CG48;F5H041;F5H7K6;Q96C32;P0CG47;J3QKN0;F5GXK7;F5H747;F5H388;B4DV12;F5H7Y5;F5H265;F5H2Z3;F5GYU3;P62987;F5H6Q2;J3QTR3;J3QS39;J3QRK5;J3QLP7;F5H4D8,Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Polyubiquitin-C;Ubiquitin;Polyubiquitin-B;Ubiquitin;Ubiquitin-60S ribosomal protein L40;Ubiquitin;60S ribosomal protein L40,RPS27A;UBC;UBB;UBA52,26,,,,,,,activation of immune response,activation of innate immune response,activation of MAPK activity,anaphase-promoting complex-dependent proteasomal ubiquitin-dependent protein catabolic process,anti-apoptosis,antigen processing and presentation,antigen processing and presentation of exogenous antigen,antigen processing and presentation of exogenous peptide antigen,antigen processing and presentation of exogenous peptide antigen via MHC class I,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",antigen processing and presentation of peptide antigen,antigen processing and presentation of peptide antigen via MHC class I,antigen receptor-mediated signaling pathway,apoptosis,biological regulation,biosynthetic process,catabolic process,cell cycle phase,cell cycle process,cell death,cell surface receptor linked signaling pathway,cellular biosynthetic process,cellular catabolic process,cellular component disassembly,cellular component disassembly at cellular level,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular macromolecular complex disassembly,cellular macromolecular complex subunit organization,cellular macromolecule biosynthetic process,cellular macromolecule catabolic process,cellular macromolecule metabolic process,cellular membrane organization,cellular metabolic process,cellular nitrogen compound metabolic process,cellular process,cellular process involved in reproduction,cellular protein complex disassembly,cellular protein metabolic process,cellular response to chemical stimulus,cellular response to cytokine stimulus,cellular response to fibroblast growth factor stimulus,cellular response to growth factor stimulus,cellular response to organic substance,cellular response to stimulus,cellular response to stress,cotranslational protein targeting to membrane,cytokine-mediated signaling pathway,cytoplasmic pattern recognition receptor signaling pathway,death,defense response,"DNA damage response, signal transduction by p53 class mediator","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",DNA metabolic process,DNA repair,egress of virus,,,,,,,,,,,,,,,,,,,,,,,,
-0.598588,-0.386751,-0.550655,,,,3,23.5,18.416,5.68E-64,3,3,3,4696500,3979500,5279000,4584100,4417500,4357200,-0.511998,-0.550655,0.111083,-0.21696,0.0479328,-0.598588,-0.386751,0.211837,3,Q5VV89;O14880;Q5VV87,Q5VV89;O14880,Microsomal glutathione S-transferase 3,MGST3,3,,,,,,,alkene biosynthetic process,arachidonic acid metabolite production involved in inflammatory response,biological regulation,biosynthetic process,carboxylic acid biosynthetic process,carboxylic acid metabolic process,cellular alkene metabolic process,cellular biosynthetic process,cellular ketone metabolic process,cellular lipid metabolic process,cellular metabolic process,cellular process,cellular response to stimulus,fatty acid biosynthetic process,fatty acid metabolic process,icosanoid biosynthetic process,icosanoid metabolic process,leukotriene biosynthetic process,leukotriene metabolic process,leukotriene production involved in inflammatory response,lipid biosynthetic process,lipid metabolic process,metabolic process,monocarboxylic acid metabolic process,multicellular organismal process,organic acid biosynthetic process,organic acid metabolic process,oxoacid metabolic process,primary metabolic process,production of molecular mediator involved in inflammatory response,regulation of biological process,regulation of cellular process,response to stimulus,signal transduction,small molecule biosynthetic process,small molecule metabolic process,unsaturated fatty acid biosynthetic process,unsaturated fatty acid metabolic process,xenobiotic metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.516306,-0.529156,-0.508178,,,,71,68.4,105.57,0,284,297,282,432480000,491100000,442310000,527240000,363220000,427700000,-0.51788,-0.516306,0.0105774,-0.0204244,0.00812781,-0.529156,-0.508178,0.0209783,3,P12814-3;P12814-2;B7TY16;H9KV75;H0YJ11,P12814-3;P12814-2;B7TY16;H9KV75,,ACTN1,5,,,,251;254;256;459;460;461;462;463;464;465;466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.512123,-0.459358,-0.582231,,,,70,69.5,103.06,0,6,5,5,5488400,5411800,4853700,5199000,4003100,4208400,-0.517904,-0.512123,0.0616404,-0.119019,0.052765,-0.582231,-0.459358,0.122873,3,P12814;G3V2N5;H7C5W8;B2RCS5;P35609;H0YJW3;Q08043;G3V2W4;G3V5M4;G3V2X9;G3V380;G3V2E8;B7Z4P8,P12814,Alpha-actinin-1,ACTN1,13,,,,251;254;256;459;460;461;462;463;464;465,,,actin filament-based movement,actin filament-based process,actin-mediated cell contraction,actin-myosin filament sliding,biological regulation,cell activation,cell communication,cell junction assembly,cell junction organization,cell projection assembly,cell projection organization,cell-cell signaling,cell-substrate junction assembly,cellular component assembly,cellular component assembly at cellular level,cellular component movement,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular process,establishment of localization,establishment of localization in cell,exocytosis,focal adhesion assembly,macromolecular complex assembly,macromolecular complex subunit organization,microspike assembly,muscle filament sliding,negative regulation of biological process,negative regulation of cellular component movement,negative regulation of cellular process,platelet activation,platelet degranulation,protein complex assembly,protein complex subunit organization,protein homooligomerization,protein homotetramerization,protein oligomerization,protein tetramerization,regulation of apoptosis,regulation of biological process,regulation of cell death,regulation of cellular component movement,regulation of cellular process,regulation of localization,regulation of programmed cell death,secretion,secretion by cell,signaling,synaptic transmission,transport,vesicle-mediated transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.620157,-0.482251,-0.45696,,,,39,57.4,83.165,0,51,58,57,71002000,62303000,138130000,121290000,99787000,89766000,-0.519789,-0.482251,0.0878364,-0.168985,0.025291,-0.620157,-0.45696,0.163198,3,P41250;H7C443,P41250,Glycine--tRNA ligase,GARS,2,,,,713;714;715;716,,,amine metabolic process,amino acid activation,biosynthetic process,bis(5'-nucleosidyl) oligophosphate biosynthetic process,bis(5'-nucleosidyl) oligophosphate metabolic process,carboxylic acid metabolic process,cell death,cellular amine metabolic process,cellular amino acid metabolic process,cellular biosynthetic process,cellular ketone metabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular nitrogen compound biosynthetic process,cellular nitrogen compound metabolic process,cellular process,death,diadenosine polyphosphate biosynthetic process,diadenosine polyphosphate metabolic process,diadenosine tetraphosphate biosynthetic process,diadenosine tetraphosphate metabolic process,glycyl-tRNA aminoacylation,heterocycle biosynthetic process,heterocycle metabolic process,macromolecule metabolic process,metabolic process,ncRNA metabolic process,nitrogen compound metabolic process,nucleic acid metabolic process,nucleobase-containing compound biosynthetic process,nucleobase-containing compound metabolic process,nucleobase-containing small molecule metabolic process,nucleoside biosynthetic process,nucleoside metabolic process,organic acid metabolic process,oxoacid metabolic process,primary metabolic process,purine nucleoside biosynthetic process,purine nucleoside metabolic process,purine ribonucleoside biosynthetic process,purine ribonucleoside metabolic process,purine-containing compound biosynthetic process,purine-containing compound metabolic process,ribonucleoside biosynthetic process,ribonucleoside metabolic process,RNA metabolic process,small molecule metabolic process,tRNA aminoacylation,tRNA aminoacylation for protein translation,tRNA metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.677564,-0.43735,-0.445283,,,,26,85.1,36.053,0,203,240,238,1362500000,1869300000,2179900000,2449800000,1646800000,1754300000,-0.520066,-0.445283,0.136455,-0.262381,0.00793368,-0.677564,-0.43735,0.240214,3,P04406,P04406,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,1,,,,143;144;145;146;147;148;149;319;320,,,alcohol biosynthetic process,alcohol catabolic process,alcohol metabolic process,apoptosis,biological regulation,biosynthetic process,carbohydrate biosynthetic process,carbohydrate catabolic process,carbohydrate metabolic process,catabolic process,cell death,cellular biosynthetic process,cellular carbohydrate biosynthetic process,cellular carbohydrate catabolic process,cellular carbohydrate metabolic process,cellular macromolecule metabolic process,cellular metabolic process,cellular process,cellular protein metabolic process,death,generation of precursor metabolites and energy,gluconeogenesis,glucose catabolic process,glucose metabolic process,glycolysis,hexose biosynthetic process,hexose catabolic process,hexose metabolic process,macromolecule metabolic process,macromolecule modification,metabolic process,monosaccharide biosynthetic process,monosaccharide catabolic process,monosaccharide metabolic process,neuron apoptosis,neuron death,peptidyl-amino acid modification,peptidyl-cysteine modification,peptidyl-cysteine S-nitrosylation,peptidyl-cysteine S-trans-nitrosylation,posttranscriptional regulation of gene expression,primary metabolic process,programmed cell death,protein metabolic process,protein modification process,protein nitrosylation,protein stabilization,regulation of biological process,regulation of biological quality,regulation of gene expression,regulation of macromolecule metabolic process,regulation of metabolic process,regulation of protein stability,small molecule biosynthetic process,small molecule catabolic process,small molecule metabolic process,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.659335,-0.467952,-0.434422,,,,3,4.5,78.41,7.53E-12,3,3,3,755570,602330,965260,954110,768510,669020,-0.52057,-0.467952,0.121338,-0.233087,0.0335301,-0.659335,-0.434422,0.224913,3,Q92542;Q92542-2;E7ENA9;H0Y6T7;F6Y097;H0Y3Z4;Q5T205,Q92542;Q92542-2;E7ENA9;H0Y6T7;F6Y097;H0Y3Z4;Q5T205,Nicastrin,NCSTN,7,,,,,,,amyloid precursor protein catabolic process,amyloid precursor protein metabolic process,apoptosis,biological regulation,catabolic process,cell death,cell surface receptor linked signaling pathway,cellular macromolecule metabolic process,cellular metabolic process,cellular process,cellular protein metabolic process,cellular response to stimulus,death,enzyme linked receptor protein signaling pathway,glycoprotein catabolic process,glycoprotein metabolic process,induction of apoptosis,induction of apoptosis by extracellular signals,induction of programmed cell death,macromolecule catabolic process,macromolecule metabolic process,membrane protein ectodomain proteolysis,membrane protein intracellular domain proteolysis,membrane protein proteolysis,metabolic process,nerve growth factor receptor signaling pathway,Notch receptor processing,Notch signaling pathway,positive regulation of apoptosis,positive regulation of biological process,positive regulation of catalytic activity,positive regulation of cell death,positive regulation of cellular process,positive regulation of molecular function,positive regulation of programmed cell death,primary metabolic process,programmed cell death,protein maturation,protein metabolic process,protein processing,proteolysis,regulation of apoptosis,regulation of biological process,regulation of catalytic activity,regulation of cell death,regulation of cellular process,regulation of metabolic process,regulation of molecular function,regulation of programmed cell death,response to stimulus,signal transduction,transmembrane receptor protein tyrosine kinase signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.569329,-0.423758,-0.588682,,,,7,47.8,21.416,5.89E-26,6,6,7,3790200,2623400,2558100,1920000,4535300,3201200,-0.527257,-0.569329,0.0901529,-0.170985,0.0193528,-0.588682,-0.423758,0.164924,3,Q96BM9,Q96BM9,ADP-ribosylation factor-like protein 8A,ARL8A,1,,,,,,,biological regulation,cell cycle phase,cell cycle process,cell division,cellular component organization,cellular component organization at cellular level,cellular component organization or biogenesis,cellular component organization or biogenesis at cellular level,cellular process,cellular response to stimulus,chromosome segregation,intracellular signal transduction,mitosis,nuclear division,organelle fission,organelle organization,regulation of biological process,regulation of cellular process,response to stimulus,signal transduction,small GTPase mediated signal transduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.526473,-0.568666,-0.494028,,,,15,40.3,56.5,3.53E-132,18,16,17,16034000,13841000,16526000,15300000,12924000,11733000,-0.529722,-0.526473,0.0374249,-0.0706501,0.032445,-0.568666,-0.494028,0.074638,3,P21281;H0YC04;P15313;C9JL73;C9JNS9;C9J5E3;E5RGH6;H0YAT8;H0YC45,P21281,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,9,,,,,,,anatomical structure morphogenesis,ATP hydrolysis coupled proton transport,biological regulation,calcium ion homeostasis,cation homeostasis,cation transport,cell surface receptor linked signaling pathway,cellular cation homeostasis,cellular chemical homeostasis,cellular homeostasis,cellular ion homeostasis,cellular iron ion homeostasis,cellular metal ion homeostasis,cellular process,cellular response to chemical stimulus,cellular response to endogenous stimulus,cellular response to hormone stimulus,cellular response to insulin stimulus,cellular response to organic substance,cellular response to peptide hormone stimulus,cellular response to stimulus,chemical homeostasis,developmental process,divalent inorganic cation homeostasis,embryonic morphogenesis,"energy coupled proton transport, against electrochemical gradient",enzyme linked receptor protein signaling pathway,establishment of localization,establishment of protein localization,excretion,ferric iron transport,homeostatic process,hydrogen transport,inner ear morphogenesis,insulin receptor signaling pathway,ion homeostasis,ion transmembrane transport,ion transport,iron ion homeostasis,iron ion transport,metal ion homeostasis,metal ion transport,monovalent inorganic cation homeostasis,monovalent inorganic cation transport,multicellular organismal process,neurological system process,ossification,pH reduction,protein transport,proton transport,regulation of biological process,regulation of biological quality,regulation of cellular process,regulation of pH,response to chemical stimulus,response to endogenous stimulus,response to hormone stimulus,response to insulin stimulus,response to organic substance,response to peptide hormone stimulus,response to stimulus,secretion,sensory perception,sensory perception of mechanical stimulus,sensory perception of sound,signal transduction,system process,transferrin transport,transition metal ion transport,transmembrane receptor protein tyrosine kinase signaling pathway,transmembrane transport,transport,,,,,,,,,,
-0.690568,-0.435417,-0.475515,,,,3,11.2,55.882,9.67E-09,3,3,3,2179800,1958500,1979900,2374600,2028600,1732700,-0.533833,-0.475515,0.137209,-0.257025,0.040098,-0.690568,-0.435417,0.255151,3,Q9UI12;Q9UI12-2;G3V126;E5RFZ9;E5RHH0;E5RG49;E5RJG1;E5RK31,Q9UI12;Q9UI12-2;G3V126,V-type proton ATPase subunit H,ATP6V1H,8,,,,,,,ATP hydrolysis coupled proton transport,biological regulation,cation homeostasis,cation transport,cell surface receptor linked signaling pathway,cellular cation homeostasis,cellular chemical homeostasis,cellular component organization,cellular component organization or biogenesis,cellular homeostasis,cellular ion homeostasis,cellular iron ion homeostasis,cellular membrane organization,cellular metal ion homeostasis,cellular monovalent inorganic cation homeostasis,cellular process,cellular response to chemical stimulus,cellular response to endogenous stimulus,cellular response to hormone stimulus,cellular response to insulin stimulus,cellular response to organic substance,cellular response to peptide hormone stimulus,cellular response to stimulus,chemical homeostasis,endocytosis,"energy coupled proton transport, against electrochemical gradient",enzyme linked receptor protein signaling pathway,establishment of localization,establishment of protein localization,ferric iron transport,homeostatic process,hydrogen transport,insulin receptor signaling pathway,interspecies interaction between organisms,intracellular pH reduction,ion homeostasis,ion transmembrane transport,ion transport,iron ion homeostasis,iron ion transport,membrane invagination,membrane organization,metal ion homeostasis,metal ion transport,monovalent inorganic cation homeostasis,monovalent inorganic cation transport,multi-organism process,pH reduction,protein transport,proton transport,regulation of biological process,regulation of biological quality,regulation of cellular pH,regulation of cellular process,regulation of defense response,regulation of defense response to virus,regulation of defense response to virus by virus,regulation of immune effector process,regulation of immune system process,regulation of intracellular pH,regulation of multi-organism process,regulation of pH,regulation of response to biotic stimulus,regulation of response to stimulus,regulation of response to stress,response to chemical stimulus,response to endogenous stimulus,response to hormone stimulus,response to insulin stimulus,response to organic substance,response to peptide hormone stimulus,response to stimulus,signal transduction,transferrin transport,transition metal ion transport,transmembrane receptor protein tyrosine,,,,,,
